"ds","yhat"
2010-05-02,637.376596454399
2010-05-03,516.361954539515
2010-05-04,283.261755039519
2010-05-05,569.293291878902
2010-05-06,479.356523216984
2010-05-07,685.932255588665
2010-05-08,497.394677760118
2010-05-09,631.399241988242
2010-05-10,510.384600073153
2010-05-11,277.284400572765
2010-05-12,563.315937412802
2010-05-13,473.379168751081
2010-05-14,679.954901122597
2010-05-15,491.417323294174
2010-05-16,625.421887522991
2010-05-17,504.407245608118
2010-05-18,271.307046107333
2010-05-19,557.338582947455
2010-05-20,467.401814285178
2010-05-21,673.977546657015
2010-05-22,485.439968828421
2010-05-23,619.444533057686
2010-05-24,498.429891141381
2010-05-25,265.329691641219
2010-05-26,551.361228480985
2010-05-27,461.424459819163
2010-05-28,668.000192190564
2010-05-29,479.462614361983
2010-05-30,613.467178590676
2010-05-31,492.452536675495
